DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20190101,2019-01-01,Tuesday,January,Jan,1,1,2019
20190102,2019-01-02,Wednesday,January,Jan,1,1,2019
20190103,2019-01-03,Thursday,January,Jan,1,1,2019
20190104,2019-01-04,Friday,January,Jan,1,1,2019
20190105,2019-01-05,Saturday,January,Jan,1,1,2019
20190106,2019-01-06,Sunday,January,Jan,1,1,2019
20190107,2019-01-07,Monday,January,Jan,1,1,2019
20190108,2019-01-08,Tuesday,January,Jan,1,1,2019
20190109,2019-01-09,Wednesday,January,Jan,1,1,2019
20190110,2019-01-10,Thursday,January,Jan,1,1,2019
20190111,2019-01-11,Friday,January,Jan,1,1,2019
20190112,2019-01-12,Saturday,January,Jan,1,1,2019
20190113,2019-01-13,Sunday,January,Jan,1,1,2019
20190114,2019-01-14,Monday,January,Jan,1,1,2019
20190115,2019-01-15,Tuesday,January,Jan,1,1,2019
20190116,2019-01-16,Wednesday,January,Jan,1,1,2019
20190117,2019-01-17,Thursday,January,Jan,1,1,2019
20190118,2019-01-18,Friday,January,Jan,1,1,2019
20190119,2019-01-19,Saturday,January,Jan,1,1,2019
20190120,2019-01-20,Sunday,January,Jan,1,1,2019
20190121,2019-01-21,Monday,January,Jan,1,1,2019
20190122,2019-01-22,Tuesday,January,Jan,1,1,2019
20190123,2019-01-23,Wednesday,January,Jan,1,1,2019
20190124,2019-01-24,Thursday,January,Jan,1,1,2019
20190125,2019-01-25,Friday,January,Jan,1,1,2019
20190126,2019-01-26,Saturday,January,Jan,1,1,2019
20190127,2019-01-27,Sunday,January,Jan,1,1,2019
20190128,2019-01-28,Monday,January,Jan,1,1,2019
20190129,2019-01-29,Tuesday,January,Jan,1,1,2019
20190130,2019-01-30,Wednesday,January,Jan,1,1,2019
20190131,2019-01-31,Thursday,January,Jan,1,1,2019
20190201,2019-02-01,Friday,February,Feb,2,1,2019
20190202,2019-02-02,Saturday,February,Feb,2,1,2019
20190203,2019-02-03,Sunday,February,Feb,2,1,2019
20190204,2019-02-04,Monday,February,Feb,2,1,2019
20190205,2019-02-05,Tuesday,February,Feb,2,1,2019
20190206,2019-02-06,Wednesday,February,Feb,2,1,2019
20190207,2019-02-07,Thursday,February,Feb,2,1,2019
20190208,2019-02-08,Friday,February,Feb,2,1,2019
20190209,2019-02-09,Saturday,February,Feb,2,1,2019
20190210,2019-02-10,Sunday,February,Feb,2,1,2019
20190211,2019-02-11,Monday,February,Feb,2,1,2019
20190212,2019-02-12,Tuesday,February,Feb,2,1,2019
20190213,2019-02-13,Wednesday,February,Feb,2,1,2019
20190214,2019-02-14,Thursday,February,Feb,2,1,2019
20190215,2019-02-15,Friday,February,Feb,2,1,2019
20190216,2019-02-16,Saturday,February,Feb,2,1,2019
20190217,2019-02-17,Sunday,February,Feb,2,1,2019
20190218,2019-02-18,Monday,February,Feb,2,1,2019
20190219,2019-02-19,Tuesday,February,Feb,2,1,2019
20190220,2019-02-20,Wednesday,February,Feb,2,1,2019
20190221,2019-02-21,Thursday,February,Feb,2,1,2019
20190222,2019-02-22,Friday,February,Feb,2,1,2019
20190223,2019-02-23,Saturday,February,Feb,2,1,2019
20190224,2019-02-24,Sunday,February,Feb,2,1,2019
20190225,2019-02-25,Monday,February,Feb,2,1,2019
20190226,2019-02-26,Tuesday,February,Feb,2,1,2019
20190227,2019-02-27,Wednesday,February,Feb,2,1,2019
20190228,2019-02-28,Thursday,February,Feb,2,1,2019
20190301,2019-03-01,Friday,March,Mar,3,1,2019
20190302,2019-03-02,Saturday,March,Mar,3,1,2019
20190303,2019-03-03,Sunday,March,Mar,3,1,2019
20190304,2019-03-04,Monday,March,Mar,3,1,2019
20190305,2019-03-05,Tuesday,March,Mar,3,1,2019
20190306,2019-03-06,Wednesday,March,Mar,3,1,2019
20190307,2019-03-07,Thursday,March,Mar,3,1,2019
20190308,2019-03-08,Friday,March,Mar,3,1,2019
20190309,2019-03-09,Saturday,March,Mar,3,1,2019
20190310,2019-03-10,Sunday,March,Mar,3,1,2019
20190311,2019-03-11,Monday,March,Mar,3,1,2019
20190312,2019-03-12,Tuesday,March,Mar,3,1,2019
20190313,2019-03-13,Wednesday,March,Mar,3,1,2019
20190314,2019-03-14,Thursday,March,Mar,3,1,2019
20190315,2019-03-15,Friday,March,Mar,3,1,2019
20190316,2019-03-16,Saturday,March,Mar,3,1,2019
20190317,2019-03-17,Sunday,March,Mar,3,1,2019
20190318,2019-03-18,Monday,March,Mar,3,1,2019
20190319,2019-03-19,Tuesday,March,Mar,3,1,2019
20190320,2019-03-20,Wednesday,March,Mar,3,1,2019
20190321,2019-03-21,Thursday,March,Mar,3,1,2019
20190322,2019-03-22,Friday,March,Mar,3,1,2019
20190323,2019-03-23,Saturday,March,Mar,3,1,2019
20190324,2019-03-24,Sunday,March,Mar,3,1,2019
20190325,2019-03-25,Monday,March,Mar,3,1,2019
20190326,2019-03-26,Tuesday,March,Mar,3,1,2019
20190327,2019-03-27,Wednesday,March,Mar,3,1,2019
20190328,2019-03-28,Thursday,March,Mar,3,1,2019
20190329,2019-03-29,Friday,March,Mar,3,1,2019
20190330,2019-03-30,Saturday,March,Mar,3,1,2019
20190331,2019-03-31,Sunday,March,Mar,3,1,2019
20190401,2019-04-01,Monday,April,Apr,4,2,2019
20190402,2019-04-02,Tuesday,April,Apr,4,2,2019
20190403,2019-04-03,Wednesday,April,Apr,4,2,2019
20190404,2019-04-04,Thursday,April,Apr,4,2,2019
20190405,2019-04-05,Friday,April,Apr,4,2,2019
20190406,2019-04-06,Saturday,April,Apr,4,2,2019
20190407,2019-04-07,Sunday,April,Apr,4,2,2019
20190408,2019-04-08,Monday,April,Apr,4,2,2019
20190409,2019-04-09,Tuesday,April,Apr,4,2,2019
20190410,2019-04-10,Wednesday,April,Apr,4,2,2019
20190411,2019-04-11,Thursday,April,Apr,4,2,2019
20190412,2019-04-12,Friday,April,Apr,4,2,2019
20190413,2019-04-13,Saturday,April,Apr,4,2,2019
20190414,2019-04-14,Sunday,April,Apr,4,2,2019
20190415,2019-04-15,Monday,April,Apr,4,2,2019
20190416,2019-04-16,Tuesday,April,Apr,4,2,2019
20190417,2019-04-17,Wednesday,April,Apr,4,2,2019
20190418,2019-04-18,Thursday,April,Apr,4,2,2019
20190419,2019-04-19,Friday,April,Apr,4,2,2019
20190420,2019-04-20,Saturday,April,Apr,4,2,2019
20190421,2019-04-21,Sunday,April,Apr,4,2,2019
20190422,2019-04-22,Monday,April,Apr,4,2,2019
20190423,2019-04-23,Tuesday,April,Apr,4,2,2019
20190424,2019-04-24,Wednesday,April,Apr,4,2,2019
20190425,2019-04-25,Thursday,April,Apr,4,2,2019
20190426,2019-04-26,Friday,April,Apr,4,2,2019
20190427,2019-04-27,Saturday,April,Apr,4,2,2019
20190428,2019-04-28,Sunday,April,Apr,4,2,2019
20190429,2019-04-29,Monday,April,Apr,4,2,2019
20190430,2019-04-30,Tuesday,April,Apr,4,2,2019
20190501,2019-05-01,Wednesday,May,May,5,2,2019
20190502,2019-05-02,Thursday,May,May,5,2,2019
20190503,2019-05-03,Friday,May,May,5,2,2019
20190504,2019-05-04,Saturday,May,May,5,2,2019
20190505,2019-05-05,Sunday,May,May,5,2,2019
20190506,2019-05-06,Monday,May,May,5,2,2019
20190507,2019-05-07,Tuesday,May,May,5,2,2019
20190508,2019-05-08,Wednesday,May,May,5,2,2019
