ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
381,20190101,20190113,20190108,16942,SO46700,1000.4375
375,20190101,20190113,20190108,15114,SO46701,2181.5625
369,20190101,20190113,20190108,15116,SO46702,2443.35
337,20190101,20190113,20190108,20576,SO46703,782.99
370,20190101,20190113,20190108,13059,SO46704,2443.35
370,20190101,20190113,20190108,13085,SO46705,2443.35
352,20190101,20190113,20190108,20186,SO46706,2071.4196
337,20190101,20190113,20190108,15199,SO46707,782.99
377,20190101,20190113,20190108,21200,SO46708,2181.5625
387,20190102,20190114,20190109,19172,SO46709,1000.4375
356,20190102,20190114,20190109,11484,SO46710,2071.4196
369,20190102,20190114,20190109,13592,SO46711,2443.35
373,20190102,20190114,20190109,13779,SO46712,2181.5625
371,20190102,20190114,20190109,24778,SO46713,2181.5625
368,20190102,20190114,20190109,13093,SO46714,2443.35
375,20190102,20190114,20190109,24976,SO46715,2181.5625
375,20190102,20190114,20190109,25046,SO46716,2181.5625
368,20190102,20190114,20190109,25048,SO46717,2443.35
360,20190102,20190114,20190109,12570,SO46718,2049.0982
362,20190103,20190115,20190110,11604,SO46719,2049.0982
371,20190103,20190115,20190110,13667,SO46720,2181.5625
370,20190103,20190115,20190110,16046,SO46721,2443.35
385,20190103,20190115,20190110,17095,SO46722,1000.4375
368,20190103,20190115,20190110,12918,SO46723,2443.35
368,20190103,20190115,20190110,28663,SO46724,2443.35
369,20190103,20190115,20190110,21191,SO46725,2443.35
373,20190103,20190115,20190110,20999,SO46726,2181.5625
370,20190103,20190115,20190110,21002,SO46727,2443.35
358,20190103,20190115,20190110,12354,SO46728,2049.0982
321,20190103,20190115,20190110,26019,SO46729,782.99
379,20190104,20190116,20190111,15100,SO46730,2181.5625
371,20190104,20190116,20190111,15101,SO46731,2181.5625
385,20190104,20190116,20190111,13992,SO46732,1000.4375
375,20190104,20190116,20190111,24781,SO46733,2181.5625
375,20190104,20190116,20190111,13060,SO46734,2181.5625
371,20190104,20190116,20190111,13226,SO46735,2181.5625
360,20190104,20190116,20190111,12341,SO46736,2049.0982
354,20190104,20190116,20190111,12346,SO46737,2071.4196
362,20190104,20190116,20190111,12576,SO46738,2049.0982
373,20190105,20190117,20190112,15699,SO46739,2181.5625
379,20190105,20190117,20190112,12980,SO46740,2181.5625
370,20190105,20190117,20190112,28766,SO46741,2443.35
358,20190105,20190117,20190112,20206,SO46742,2049.0982
373,20190105,20190117,20190112,21183,SO46743,2181.5625
370,20190105,20190117,20190112,21199,SO46744,2443.35
369,20190106,20190118,20190113,13056,SO46745,2443.35
368,20190106,20190118,20190113,13057,SO46746,2443.35
360,20190106,20190118,20190113,26127,SO46747,2049.0982
360,20190106,20190118,20190113,26252,SO46748,2049.0982
354,20190106,20190118,20190113,12350,SO46749,2071.4196
377,20190107,20190119,20190114,16054,SO46750,2181.5625
377,20190107,20190119,20190114,12934,SO46751,2181.5625
343,20190107,20190119,20190114,19931,SO46752,782.99
379,20190107,20190119,20190114,21215,SO46753,2181.5625
321,20190107,20190119,20190114,25958,SO46754,782.99
343,20190107,20190119,20190114,26023,SO46755,782.99
383,20190107,20190119,20190114,13993,SO46756,1000.4375
354,20190108,20190120,20190115,26174,SO46757,2071.4196
387,20190108,20190120,20190115,18130,SO46758,1000.4375
373,20190108,20190120,20190115,16033,SO46759,2181.5625
387,20190108,20190120,20190115,13986,SO46760,1000.4375
325,20190108,20190120,20190115,19924,SO46761,782.99
368,20190108,20190120,20190115,13063,SO46762,2443.35
375,20190108,20190120,20190115,13202,SO46763,2181.5625
360,20190108,20190120,20190115,26238,SO46764,2049.0982
333,20190108,20190120,20190115,15191,SO46765,782.99
369,20190108,20190120,20190115,21216,SO46766,2443.35
362,20190108,20190120,20190115,12573,SO46767,2049.0982
339,20190108,20190120,20190115,26020,SO46768,782.99
377,20190109,20190121,20190116,15702,SO46769,2181.5625
370,20190109,20190121,20190116,15357,SO46770,2443.35
377,20190109,20190121,20190116,13068,SO46771,2181.5625
375,20190109,20190121,20190116,13161,SO46772,2181.5625
371,20190109,20190121,20190116,13173,SO46773,2181.5625
375,20190109,20190121,20190116,13225,SO46774,2181.5625
352,20190109,20190121,20190116,26249,SO46775,2071.4196
360,20190109,20190121,20190116,12356,SO46776,2049.0982
356,20190110,20190122,20190117,11568,SO46777,2071.4196
352,20190110,20190122,20190117,11610,SO46778,2071.4196
377,20190110,20190122,20190117,15929,SO46779,2181.5625
